TeamName,ADJOE,ADJDE,BARTHAG,Record,Wins,Games Played,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,,2P%,2P%D,3P%,3P%D,,,,,3PR,3PRD,ADJ T.,,,,,,,,WAB,,
"Fairleigh Dickinson",89.658105073025,103.19403160293,0.16562105905301,0–2,0,2,40.4,56.2,24.6,35.8,19.5,20.7,19.6,52.6,77.1,38.6,61,28.3,32.7,7.3,11.4,63.6,51.5,46.2,40.1,76.7,,,,2024,,,,-0.54395821031905,65.6,71.4
Cornell,115.387,113.919,0.53674520944016,0–1,0,1,55.7,66.2,27.9,27.7,16.5,13.7,26.5,32.3,72.8,59.5,64.7,33.3,45.2,0,5.4,50,58.3,39.3,47.7,74.8,,,,2024,,,,-0.24985091031353,64.7,66.7
"West Virginia",108.15862589754,111.19712953935,0.42101329771162,0–7,0,7,47.1,57.4,41.5,27.3,23.3,11.9,30.6,34.3,68.2,44.8,59.8,34.1,36,10.5,17.7,48.3,59.6,36.3,40.1,68.5,,,,2024,,,,-2.2124451068909,72.2,74.4
Oklahoma,118.08753822851,103.65125236725,0.81750499195567,2–7,2,9,50.4,51.8,32.6,31,18.8,10.4,28.9,26.1,66.3,50.5,51.4,33.5,35.1,7.4,10.3,51.4,49.8,40.7,32,66.3,,,,2024,,,,-0.43166803677638,76.9,78.9
Queens,109.8737815427,119.87996068543,0.26848465180458,0–2,0,2,47.7,67.5,24.1,29.2,18.9,10.4,27,30,76.8,46.4,69.6,32.8,42.2,4.3,24.6,43.4,57.8,48.1,32.8,78.2,,,,2024,,,,-0.42570793930535,65.6,75
"Southern Illinois",76.075666666667,97.447,0.054827679878368,0–1,0,1,33,54.5,28.6,35.7,22.2,10.4,26.8,16.7,67.6,38.9,57.1,15,33.3,20,11.1,11.8,44.4,35.7,37.5,64.6,,,,2024,,,,-0.34897007347296,68.8,80
"San Diego St.",110.9273718283,94.293113984402,0.86627030391738,2–6,2,8,49.5,47.9,31.4,38.1,18.1,16.1,26.8,31.9,68.1,52.2,48.8,29.7,30.8,10.3,10.6,47.5,51.5,36,36.4,67.6,,,,2024,,,,-0.60102479704042,75.7,67.2
"Nebraska Omaha",91.22511808156,105.53877209146,0.15761214040407,0–2,0,2,45.9,55,33,23.3,21.7,18.2,18.2,40.6,71.6,46.4,58.1,30,32.6,3.5,5.8,52.3,45.3,36.7,33.3,70.8,,,,2024,,,,-0.67871620295008,50,90
"Texas A&M Commerce",82.239727515221,98.849834639229,0.10759182385804,0–4,0,4,37.5,51.8,13.6,32.8,19.8,17.6,20.4,40.1,68.2,46,55.5,18.8,30.3,12.3,9.7,53.8,57.5,47.5,36.5,67.1,,,,2024,,,,-1.2854337432609,56.3,70
DePaul,109.54449027083,118.13042493067,0.29571786299443,0–12,0,12,49,63.2,33.6,23.3,19.7,12.1,20.6,34,68.7,45.3,62.5,37.9,42.6,7.5,12.1,51.6,63.4,31.7,44.5,69.4,,,,2024,,,,-3.5654024814144,77.7,77.5
"UT Rio Grande Valley",87.048280812364,99.514194906631,0.17666180205395,0–1,0,1,42.9,57.4,23.2,16.2,27.7,23.8,21.6,45.5,75.7,46.7,52.9,18.2,47.1,13.7,20,65.2,68.6,19.6,25,73.1,,,,2024,,,,-0.35657402346644,53.8,90.9
"Chicago St.",109.31567667531,101.38702121803,0.70388963717577,1–1,1,2,43.8,55,34.5,42.2,15.9,15.9,30.1,30,66.1,46.5,54.5,26.2,37.5,6.5,11.3,36.4,59.3,37.2,29.4,69.2,,,,2024,,,,0.38534559017601,74.4,71.7
